wing,recommended_url,page_name,page_family,topic_slug,page_value,launch_phase,score,current_dotfun_page,semrush_rows,semrush_aggregate_volume,semrush_best_position,semrush_keyword_examples,competitor_evidence_count,evidence_types,evidence_urls,decision_rationale,cannibalization_rule,schema_recommendation,internal_linking_notes
Iris Platform,/iris/,Iris Platform Overview,platform-overview,platform-overview,standalone-page,launch,113,yes,0,0,,,3,competitor-home | current-site,https://dotfun.co/iris | https://www.myaifrontdesk.com/,required architecture parent ; current dotfun Iris page exists ; multiple competitor/source evidence points,,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/,Iris Features Overview,feature-overview,features-overview,standalone-page,launch,98,no,0,0,,,3,competitor-platform | current-site,https://www.myaifrontdesk.com/platform/ai-crm | https://dotfun.co/iris/product,required architecture parent ; multiple competitor/source evidence points,,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/ai-crm/,Ai Crm,feature,ai-crm,standalone-page,launch,90,no,353,74420,1,"free crm (vol 8100, pos 11) | crm applications (vol 1600, pos 15) | crm application (vol 1600, pos 17) | crm applications (vol 1600, pos 76)",1,feature,https://www.myaifrontdesk.com/platform/ai-crm,"core product feature from source docs / competitor pattern ; SEMrush relevant evidence: 353 rows, aggregate volume 74420 ; Confirmed by Perl as current Iris feature on 2026-06-07.","Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS.",SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/ai-receptionist/,Ai Phone Receptionist / Ai Phone Receptionist/24 7 Availability / Ai Phone Receptionist/Ambient Noise / Ai Phone Receptionist/Api Webhooks /,feature,ai-receptionist,standalone-page,launch,81,no,3,8470,1,"ai receptionist (vol 5400, pos 4) | frontdesk (vol 2900, pos 4) | frontdesk ai (vol 170, pos 1)",19,feature,https://www.myaifrontdesk.com/platform/ai-phone-receptionist/concurrent-calls | https://www.myaifrontdesk.com/platform/ai-phone-receptionist/ambient-noise | https://www.myaifrontdesk.com/platform/ai-phone-receptionist | https://www.myaifrontdesk.com/platform/ai-phone-receptionist/call-recording | https://www.myaifrontdesk.com/platform/ai-phone-receptionist/post-call-sms,"core product feature from source docs / competitor pattern ; SEMrush relevant evidence: 3 rows, aggregate volume 8470 ; multiple competitor/source evidence points ; Confirmed by Perl as current Iris feature on 2026-06-07.",,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/ai-calendar/,Ai Calendar,feature,ai-calendar,standalone-page,launch,75,no,5,610,30,"generation calendar (vol 210, pos 30) | calendar sdk (vol 140, pos 58) | calendar sdk (vol 140, pos 60) | motion ai calendar app (vol 70, pos 53)",1,feature,https://www.myaifrontdesk.com/platform/ai-calendar,"core product feature from source docs / competitor pattern ; SEMrush relevant evidence: 5 rows, aggregate volume 610 ; Confirmed by Perl as current Iris feature on 2026-06-07.",,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/ai-sms/,Automated Outbound Sms / Sms Texting Agent,feature,ai-sms,standalone-page,launch,74,no,4,190,26,"sms io (vol 70, pos 26) | sms marketing hubspot (vol 50, pos 83) | hubspot texting integrations (vol 40, pos 85) | send sms salesforce (vol 30, pos 75)",2,feature,https://www.myaifrontdesk.com/platform/sms-texting-agent | https://www.myaifrontdesk.com/platform/automated-outbound-sms,"core product feature from source docs / competitor pattern ; SEMrush relevant evidence: 4 rows, aggregate volume 190 ; Confirmed by Perl as current Iris feature on 2026-06-07.","Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS.",SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/ai-voice/,AI Voice,feature,ai-voice,standalone-page,launch,65,no,0,0,,,2,current-site | source-doc | competitor-pattern,https://dotfun.co/iris/features/ai-voice,core product feature from source docs / voice is part of AI receptionist and phone-agent capability ; Confirmed by Perl as current Iris feature on 2026-06-07.,"Potential overlap with AI Solutions voice/SMS agents; keep Iris page productized, software-native, B2B SaaS.",SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/ai-web-chat/,Ai Web Chatbot,feature,ai-web-chat,standalone-page,launch,65,no,0,0,,,1,feature,https://www.myaifrontdesk.com/platform/ai-web-chatbot,core product feature from source docs / competitor pattern ; Confirmed by Perl as current Iris feature on 2026-06-07.,"Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS.",SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/dashboards-analytics/,Dashboards Reporting,feature,dashboards-analytics,standalone-page,launch,65,no,0,0,,,1,feature,https://www.myaifrontdesk.com/platform/dashboards-reporting,core product feature from source docs / competitor pattern ; Confirmed by Perl as current Iris feature on 2026-06-07.,"Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS.",SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/outbound/,Automated Outbound Calls,feature,outbound,standalone-page,launch,65,no,0,0,,,1,feature,https://www.myaifrontdesk.com/platform/automated-outbound-calls,core product feature from source docs / competitor pattern ; Confirmed by Perl as current Iris feature on 2026-06-07.,"Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS.",SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
