vertical_candidate,recommended_url,decision,page_value,score,smb_fit,iris_product_fit,my_ai_front_desk_organic_rows,my_ai_front_desk_organic_aggregate_volume,my_ai_front_desk_traffic_percent_sum,my_ai_front_desk_best_position,semrush_phrase_rows,semrush_phrase_aggregate_volume,semrush_phrase_queries,my_ai_front_desk_ranking_urls,my_ai_front_desk_crawl_urls,organic_keyword_examples,phrase_keyword_examples,decision_rationale,proof_requirement,page_angle,feature_internal_links,ai_solutions_crosslink_rule
Property Management,/iris/solutions/property-management/,launch,standalone-page,82.8,high,high,0,0,0.0,,3,2750,ai receptionist for property management | property management answering service | ai leasing assistant,,https://llms.myaifrontdesk.com/property-management-playbook-ai-automation | https://llms.myaifrontdesk.com/real-estate-case-studies | https://www.myaifrontdesk.com/industries-we-serve/residential-property-management | https://www.myaifrontdesk.com/multifamily | https://www.myaifrontdesk.com/multifamily/ai-for-property-managers | https://www.myaifrontdesk.com/multifamily/ai-leasing-agent,,ai receptionist for property management (vol 30) | property management answering service (vol 2400) | ai leasing assistant (vol 320),current dotfun Iris vertical exists ; My AI Front Desk crawl has 15 relevant page(s) ; SEMrush phrase-demand evidence: aggregate related volume 2750 ; SMB/product-led fit,Existing/current vertical proof helpful,Iris as SMB-friendly AI receptionist / AI CRM workflow for property management,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
Home Services,/iris/solutions/home-services/,launch,standalone-page,74.4,high,high,0,0,0.0,,3,70,ai receptionist for hvac | ai receptionist for home services | answering service for home services,,https://llms.myaifrontdesk.com/ai-receptionist-plumbing-hvac-emergency-triage | https://llms.myaifrontdesk.com/home-services-ai-receptionist-playbook | https://llms.myaifrontdesk.com/home-services-integrations | https://llms.myaifrontdesk.com/home-services-roi | https://llms.myaifrontdesk.com/hvac-emergency-answering-gas-co-triage,,ai receptionist for hvac (vol 20) | ai receptionist for home services (vol 10) | answering service for home services (vol 40),current dotfun Iris vertical exists ; My AI Front Desk crawl has 5 relevant page(s) ; SEMrush phrase-demand evidence: aggregate related volume 70 ; SMB/product-led fit,Existing/current vertical proof helpful,Iris as SMB-friendly AI receptionist / AI CRM workflow for home services,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
Legal Services / Law Firms,/iris/solutions/legal-services/,launch,standalone-page,71.4,high,high,0,0,0.0,,3,2200,legal answering service | ai receptionist for law firms | law firm intake software,,https://llms.myaifrontdesk.com/law-firm-intake-playbook-ai-receptionist | https://www.myaifrontdesk.com/industries-we-serve/legal,,legal answering service (vol 1900) | ai receptionist for law firms (vol 90) | law firm intake software (vol 210),current dotfun Iris vertical exists ; My AI Front Desk crawl has 2 relevant page(s) ; SEMrush phrase-demand evidence: aggregate related volume 2200 ; SMB/product-led fit,Existing/current vertical proof helpful,Iris as SMB-friendly AI receptionist / AI CRM workflow for legal services / law firms,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
Therapy Practices,/iris/solutions/therapy/,launch-candidate,standalone-page,82.6,high,medium - validate workflows and proof,4,13980,0.04,1,2,140,mental health answering service | therapy answering service,https://www.myaifrontdesk.com/therapy/fusion-web-clinic-ai-integration | https://www.myaifrontdesk.com/industries-we-serve/speech-therapy,https://www.myaifrontdesk.com/testimonials/clear-speech-therapy | https://www.myaifrontdesk.com/therapy | https://www.myaifrontdesk.com/therapy/ai-insurance-eligibility-verification | https://www.myaifrontdesk.com/therapy/ai-receptionist-aba-therapy | https://www.myaifrontdesk.com/therapy/ai-receptionist-mental-health | https://www.myaifrontdesk.com/therapy/ai-receptionist-speech-therapy,"fusion web clinic (vol 6600, pos 13, url https://www.myaifrontdesk.com/therapy/fusion-web-clinic-ai-integration) | speech therapy front desk automation (vol 390, pos 1, url https://www.myaifrontdesk.com/industries-we-serve/speech-therapy) | fusion web clinic (vol 6600, pos 13, url https://www.myaifrontdesk.com/therapy/fusion-web-clinic-ai-integration) | speech therapy front desk automation (vol 390, pos 1, url https://www.myaifrontdesk.com/industries-we-serve/speech-therapy)",mental health answering service (vol 140) | therapy answering service (vol 0),"My AI Front Desk crawl has 15 relevant page(s) ; My AI Front Desk SEMrush organic across main+LLMS domains: 4 rows, aggregate volume 13980 ; My AI Front Desk top-10 ranking signal ; SEMrush phrase-demand evidence: aggregate related volume 140 ; SMB/product-led fit","Need proof, offer confidence, or vertical-specific Iris positioning before launch",Iris as SMB-friendly AI receptionist / AI CRM workflow for therapy practices,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
Medical Practices,/iris/solutions/medical/,phase-two,standalone-page,67.4,medium,medium - validate workflows and proof,2,13200,0.02,13,2,2970,ai receptionist for medical office | medical answering service,https://www.myaifrontdesk.com/therapy/fusion-web-clinic-ai-integration,https://llms.myaifrontdesk.com/dental-and-medical | https://llms.myaifrontdesk.com/healthcare-appropriate-use | https://llms.myaifrontdesk.com/healthcare-dental-fit-guide | https://llms.myaifrontdesk.com/healthcare-dental-non-phi-receptionist,"fusion web clinic (vol 6600, pos 13, url https://www.myaifrontdesk.com/therapy/fusion-web-clinic-ai-integration) | fusion web clinic (vol 6600, pos 13, url https://www.myaifrontdesk.com/therapy/fusion-web-clinic-ai-integration)",ai receptionist for medical office (vol 70) | medical answering service (vol 2900),"My AI Front Desk crawl has 4 relevant page(s) ; My AI Front Desk SEMrush organic across main+LLMS domains: 2 rows, aggregate volume 13200 ; My AI Front Desk top-30 ranking signal ; SEMrush phrase-demand evidence: aggregate related volume 2970","Need proof, offer confidence, or vertical-specific Iris positioning before launch",Iris as SMB-friendly AI receptionist / AI CRM workflow for medical practices,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
Small Business,/iris/solutions/small-business/,phase-two,standalone-page,59.9,high,high,2,960,0.02,3,0,0,,https://www.myaifrontdesk.com/blogs/top-ai-chatbots-for-customer-service-automation-our-2026-picks,https://llms.myaifrontdesk.com/ai-receptionist-alternatives-2025 | https://llms.myaifrontdesk.com/ai-receptionist-inbound-calls-smbs | https://llms.myaifrontdesk.com/call-transcription-and-sms-follow-ups | https://llms.myaifrontdesk.com/features/ai-answering-for-small-businesses | https://llms.myaifrontdesk.com/intelligent-call-routing-skills-schedule-zip,"ai customer service automation small business update 2026 (vol 480, pos 3, url https://www.myaifrontdesk.com/blogs/top-ai-chatbots-for-customer-service-automation-our-2026-picks) | ai customer service automation small business update 2026 (vol 480, pos 3, url https://www.myaifrontdesk.com/blogs/top-ai-chatbots-for-customer-service-automation-our-2026-picks)",,"My AI Front Desk crawl has 5 relevant page(s) ; My AI Front Desk SEMrush organic across main+LLMS domains: 2 rows, aggregate volume 960 ; My AI Front Desk top-10 ranking signal ; SMB/product-led fit","Need proof, offer confidence, or vertical-specific Iris positioning before launch",Iris as SMB-friendly AI receptionist / AI CRM workflow for small business,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
Real Estate,/iris/solutions/real-estate/,phase-two-monitor,section-on-parent-or-resource,46.5,high,high,0,0,0.0,,2,1340,real estate answering service | ai receptionist for real estate,,https://llms.myaifrontdesk.com/ai-phone-receptionist-real-estate | https://llms.myaifrontdesk.com/ai-phone-receptionist-real-estate-2025 | https://llms.myaifrontdesk.com/ai-receptionist-alternatives-2025 | https://llms.myaifrontdesk.com/best-ai-receptionist-real-estate | https://llms.myaifrontdesk.com/multi-level-auto-attendant-brokerages-templates | https://llms.myaifrontdesk.com/open-house-weekend-mode-brokerages,,real estate answering service (vol 1300) | ai receptionist for real estate (vol 40),My AI Front Desk crawl has 14 relevant page(s) ; SEMrush phrase-demand evidence: aggregate related volume 1340 ; SMB/product-led fit,"Need proof, offer confidence, or vertical-specific Iris positioning before launch",Iris as SMB-friendly AI receptionist / AI CRM workflow for real estate,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
Dental Practices,/iris/solutions/dental/,phase-two-monitor,section-on-parent-or-resource,37.5,high,medium - validate workflows and proof,0,0,0.0,,2,750,ai receptionist for dental office | dental answering service,,https://llms.myaifrontdesk.com/dental-and-medical | https://llms.myaifrontdesk.com/healthcare-dental-fit-guide | https://llms.myaifrontdesk.com/healthcare-dental-non-phi-receptionist,,ai receptionist for dental office (vol 30) | dental answering service (vol 720),My AI Front Desk crawl has 3 relevant page(s) ; SEMrush phrase-demand evidence: aggregate related volume 750 ; SMB/product-led fit,"Need proof, offer confidence, or vertical-specific Iris positioning before launch",Iris as SMB-friendly AI receptionist / AI CRM workflow for dental practices,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
Fitness Studios / Gyms,/iris/solutions/fitness/,phase-two-monitor,section-on-parent-or-resource,34.2,high,medium - validate workflows and proof,0,0,0.0,,1,20,gym answering service,,https://llms.myaifrontdesk.com/fitness-studio-ai-receptionist-playbook | https://llms.myaifrontdesk.com/fitness-studio-class-booking-integrations | https://llms.myaifrontdesk.com/fitness-studio-integrations | https://llms.myaifrontdesk.com/industries-gym-and-fitness,,gym answering service (vol 20),My AI Front Desk crawl has 4 relevant page(s) ; SEMrush phrase-demand evidence: aggregate related volume 20 ; SMB/product-led fit,"Need proof, offer confidence, or vertical-specific Iris positioning before launch",Iris as SMB-friendly AI receptionist / AI CRM workflow for fitness studios / gyms,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
Retail,/iris/solutions/retail/,phase-two-monitor,section-on-parent-or-resource,30,high,medium - validate workflows and proof,0,0,0.0,,0,0,,,https://www.myaifrontdesk.com/retail | https://www.myaifrontdesk.com/retail/ai-abandoned-cart-recovery | https://www.myaifrontdesk.com/retail/ai-amazon-seller-support | https://www.myaifrontdesk.com/retail/ai-order-status-lookup | https://www.myaifrontdesk.com/retail/ai-returns-management | https://www.myaifrontdesk.com/retail/ai-store-receptionist,,,My AI Front Desk crawl has 13 relevant page(s) ; SMB/product-led fit,"Need proof, offer confidence, or vertical-specific Iris positioning before launch",Iris as SMB-friendly AI receptionist / AI CRM workflow for retail,AI receptionist; AI voice; AI SMS; AI web chat; AI CRM; calendar where relevant,"Only cross-link to AI Solutions for custom workflows, integrations, or custom Iris builds; keep this page productized Iris SaaS."
