wing,candidate,candidate_url,evidence_source,evidence_url,evidence_count,evidence_type,page_value_initial,implication,additional_evidence
Iris Platform,Pricing,/iris/resources/pricing/,My AI Front Desk,https://www.myaifrontdesk.com/pricing,2,roi-pricing-tool,needs-scoring,Supporting AEO/GEO resource candidate., | https://llms.myaifrontdesk.com/pricing
Iris Platform,Ai Phone Receptionist,/iris/features/ai-phone-receptionist/,My AI Front Desk,https://www.myaifrontdesk.com/platform/ai-phone-receptionist,1,feature,needs-scoring,Validate as Iris feature page if product capability exists.,
Iris Platform,Ai Web Chatbot,/iris/features/ai-web-chatbot/,My AI Front Desk,https://www.myaifrontdesk.com/platform/ai-web-chatbot,1,feature,needs-scoring,Validate as Iris feature page if product capability exists.,
Iris Platform,Sms Texting Agent,/iris/features/sms-texting-agent/,My AI Front Desk,https://www.myaifrontdesk.com/platform/sms-texting-agent,1,feature,needs-scoring,Validate as Iris feature page if product capability exists.,
Iris Platform,Ai Crm,/iris/features/ai-crm/,My AI Front Desk,https://www.myaifrontdesk.com/platform/ai-crm,1,feature,needs-scoring,Validate as Iris feature page if product capability exists.,
Iris Platform,Dashboards Reporting,/iris/features/dashboards-reporting/,My AI Front Desk,https://www.myaifrontdesk.com/platform/dashboards-reporting,1,feature,needs-scoring,Validate as Iris feature page if product capability exists.,
Iris Platform,Website Forms,/iris/features/website-forms/,My AI Front Desk,https://www.myaifrontdesk.com/platform/website-forms,1,feature,needs-scoring,Validate as Iris feature page if product capability exists.,
Iris Platform,Ai Calendar,/iris/features/ai-calendar/,My AI Front Desk,https://www.myaifrontdesk.com/platform/ai-calendar,1,feature,needs-scoring,Validate as Iris feature page if product capability exists.,
Iris Platform,Automated Outbound Calls,/iris/features/automated-outbound-calls/,My AI Front Desk,https://www.myaifrontdesk.com/platform/automated-outbound-calls,1,feature,needs-scoring,Validate as Iris feature page if product capability exists.,
Iris Platform,Smart Tickets,/iris/features/smart-tickets/,My AI Front Desk,https://www.myaifrontdesk.com/platform/smart-tickets,1,feature,needs-scoring,Validate as Iris feature page if product capability exists.,
