Section,Page Name,Intent,Content Type,URL Slug,Main Keyword,MSV (US),Est. Competition,Related Keywords / Group,Questions to Answer / FAQ Seeds,Priority,Status,Notes,SEO Source
TL · Core Navigation,Home,Navigational / Brand,Home Page,/,dotfun,,,,"What should users know about Home?
Who is this page for?
What should users do next?",🔴 P1,Launch,Top-level entry point; route into the three wings quickly.,Not pulled — brand/nav term or placeholder
TL · Core Navigation,A · Iris,Commercial / Product,Wing Hub,/iris/,AI receptionist,3600,0.77,ai receptionist for small business (480); ai phone receptionist (390); ai virtual receptionist (390); ai receptionist solution (260); best ai receptionist (260),"What is Iris?
How does Iris combine AI receptionist, CRM, SMS, voice, calendar, and web chat?
Who is Iris built for?
When should a business use Iris vs custom AI Solutions?",🔴 P1,Launch,Software wing; SMB-leaning productized SaaS.,"SEMrush phrase_this/fullsearch/related (US), filtered for sitemap relevance"
TL · Core Navigation,B · AI Solutions,Commercial / Services,Wing Hub,/ai-solutions/,custom AI agent development,390,0.13,custom ai agent development services (170); custom agentic ai development services (70); ai agent for custom development (50); custom ai agent development company (50); custom ai agent development costs (30); custom ai agent development services for enterprises (30); ai agent development for customer service automation (20); custom ai agent development companies (20),"What is custom AI agent development?
What business workflows are good candidates for custom AI?
How long does a custom AI solution take to build?
What systems can dotfun integrate AI with?
When should a company choose custom AI Solutions instead of Iris?",🔴 P1,Launch,"Custom AI builds, workflow automation, implementation, systems integration.","SEMrush phrase_this/fullsearch/related (US), filtered for sitemap relevance"
TL · Core Navigation,C · Growth Services,Commercial / Services,Wing Hub,/growth-services/,digital marketing services,40500,0.08,digital marketing service (5400); digital marketing agency services (3600); digital marketing services near me (3600); full service digital marketing agency (3600); digital marketing services for small business (2400); b2b digital marketing services (1900); digital marketing consulting services (1600); digital marketing for home services (1300),"What are dotfun Growth Services?
What is the difference between Feel Good, Look Good, and Run Good?
Why does Run Good route to AI Solutions?
Which Growth Services should a business start with?",🔴 P1,Launch,Current dotfun services story: Feel Good + Look Good; Run Good routes to AI Solutions.,"SEMrush phrase_this/fullsearch/related (US), filtered for sitemap relevance"
TL · Core Navigation,Case Studies / Work,Proof / Consideration,CMS Collection,/work/,dotfun case studies,,,,"What should users know about Case Studies / Work?
Who is this page for?
What should users do next?",🔴 P1,Launch,Whole-company proof; case studies may skew mid-market while Iris pages lean SMB.,Not pulled — brand/nav term or placeholder
TL · Core Navigation,About,Trust / Brand,Company Page,/about/,dotfun,,,,"What should users know about About?
Who is this page for?
What should users do next?",🔴 P1,Launch,"Company story, team, philosophy.",Not pulled — brand/nav term or placeholder
TL · Core Navigation,Contact / Get Started,Conversion,Conversion Page,/contact/,contact dotfun,,,,"What should users know about Contact / Get Started?
Who is this page for?
What should users do next?",🔴 P1,Launch,Primary conversion route from all three wings.,Not pulled — brand/nav term or placeholder
A · Iris Platform,Iris Overview,Commercial / Product,Platform Overview,/iris/,AI receptionist,3600,0.77,ai receptionist for small business (480); ai phone receptionist (390); ai virtual receptionist (390); ai receptionist solution (260); best ai receptionist (260),"What is Iris?
How does Iris combine AI receptionist, CRM, SMS, voice, calendar, and web chat?
Who is Iris built for?
When should a business use Iris vs custom AI Solutions?",🔴 P1,Launch,Parent product hub; route to features and verticals.,"SEMrush phrase_this/fullsearch/related (US), filtered for sitemap relevance"
A · Iris Platform,Features Overview,Navigational / Commercial,Feature Overview,/iris/features/,AI receptionist features,10,0.0,ai virtual receptionist with top lead qualification features (170); ai virtual receptionist top lead qualification features (110); ai virtual receptionist lead qualification features (50); best ai receptionist systems call routing features (40); key features to compare ai receptionist providers (40); what are the key features of smith.ai's virtual receptionist services (30); what are the main features of smith.ai's virtual receptionist service (30); eaglesoft ai features receptionist (20),"What is AI receptionist features?
How does Features Overview work in Iris?
What tasks can Features Overview automate?
How does Features Overview connect to Iris CRM, SMS, voice, calendar, and web chat?
Who is Features Overview best for?",🔴 P1,Launch,Confirmed replacement target for /iris/product.,"SEMrush phrase_this/fullsearch/related (US), filtered for sitemap relevance"
A · Iris Platform,    └ AI CRM,Commercial / Product,Feature Page,/iris/features/ai-crm/,AI CRM,2400,0.55,ai in crm (720); ai powered crm (720); crm ai (720); ai crm software (590); ai powered crm platform (590); best ai crm (480); crm with ai (480); ai and crm (390),"What is AI CRM?
How does AI CRM work in Iris?
What tasks can AI CRM automate?
How does AI CRM connect to Iris CRM, SMS, voice, calendar, and web chat?
Who is AI CRM best for?",🔴 P1,Launch,Confirmed current Iris feature.,"SEMrush phrase_this/fullsearch/related (US), filtered for sitemap relevance"
