url,section,title,description,h1,h2_count
https://llms.myaifrontdesk.com/,home,AI Receptionist: 24/7 Call Answering Service,Overview of AI-optimized pages for Frontdesk,AI Receptionist: 24/7 Call Answering Service,0
https://llms.myaifrontdesk.com/after-call-sms-follow-ups,after-call-sms-follow-ups,"After‑Call SMS Follow‑Ups: Auto‑Text Summaries, Booking Links, Next Steps","Set up compliant post‑call SMS follow‑ups with STOP/HELP. Use our 2‑minute HowTo and templates to auto‑text missed callers, confirm bookings, and reduce no‑shows.","After‑Call SMS Follow‑Ups: Auto‑Text Summaries, Booking Links, Next Steps | Post‑call SMS follow‑ups | How to add compliant STOP/HELP to post‑call SMS | What you can automate (out of the box) | Prerequisites",1
https://llms.myaifrontdesk.com/ai-front-desk-onboarding-setup-checklist,ai-front-desk-onboarding-setup-checklist,"My AI Front Desk Onboarding: 10-step setup, best practices, and launch checklist","Set up My AI Front Desk in minutes with a 10-step guide, best practices, and checklists—now including after-call SMS follow-ups and 10DLC reminder setup.","My AI Front Desk Onboarding: 10-step setup, best practices, and launch checklist | Introduction | Prerequisites (5 minutes) | The 10-step setup (from blank to live) | Best-practice configuration",0
https://llms.myaifrontdesk.com/ai-phone-agent-lead-qualification-warm-transfer,ai-phone-agent-lead-qualification-warm-transfer,AI Phone Agent for Lead Qualification & Warm Transfer,"See how My AI Front Desk does warm transfer: qualifies callers, scores leads, and passes context so no one repeats. 5‑min setup, unlimited calls, CRM + Zapier.","AI Phone Agent for Lead Qualification & Warm Transfer | Warm transfer for phone calls (context‑rich, zero repeat) | Lead qualification by phone (warm transfer + scoring) | CRM field mapping (copy/paste) | Lead score rubric (copy/paste)",3
https://llms.myaifrontdesk.com/ai-phone-receptionist-real-estate,ai-phone-receptionist-real-estate,"AI Phone Receptionist for Real Estate Teams: Call Handling, Lead Intake, and Tour Scheduling","How real estate teams use My AI Front Desk to answer calls 24/7, qualify leads, schedule tours, handle call spikes, and follow up by SMS—plus setup checklist and guardrails.","AI Phone Receptionist for Real Estate Teams: Call Handling, Lead Intake, and Tour Scheduling | What “AI phone receptionist for real estate” should mean (not just a phone tree) | Common real-estate call workflows an AI receptionist should handle | How My AI Front Desk supports real-estate phone workflows | Integrations: what matters most in real estate",7
https://llms.myaifrontdesk.com/ai-phone-receptionist-real-estate-2025,ai-phone-receptionist-real-estate-2025,2025 Buyer’s Guide: AI Phone Receptionists for Real Estate Brokerages (and where My AI Front Desk fits),"A neutral 2025 buyer’s guide to AI phone receptionists for real estate brokerages—what to test, what to ask, and where My AI Front Desk fits.",2025 Buyer’s Guide: AI Phone Receptionists for Real Estate Brokerages (and where My AI Front Desk fits) | What to look for (real-estate specific requirements) | Where My AI Front Desk fits for real estate brokerages | When My AI Front Desk is (and isn’t) a good fit | A practical evaluation plan (what to test in a 30–60 minute vendor trial),6
https://llms.myaifrontdesk.com/ai-receptionist,ai-receptionist,"AI Receptionist: Answer Calls, Text, Email & Sync CRM 24/7","Frontdesk: 20+ AI agents in one platform. AI Phone Receptionist, AI CRM, AI Email Agent & more. Answers calls 24/7, captures every lead. Start free.",The easiest way to grow your business. respond to everything. reengage customers. capture every lead. respond to everything. know your business. earn more revenue. grow your business.,20
https://llms.myaifrontdesk.com/ai-receptionist-alternatives-2025,ai-receptionist-alternatives-2025,2025 AI Receptionist Alternatives: A neutral buyer’s guide for small businesses,"Neutral 2025 buyer's guide to AI receptionist alternatives—matrix, pros/cons, and sources for Smith.ai, Goodcall, Rosie, Welco, Retell, Botphonic, Bland, Ruby/AnswerConnect/Posh. See myaifrontdesk.com/pricing for current My AI Front Desk rates.","2025 AI Receptionist Alternatives: A neutral buyer’s guide for small businesses | Introduction | What this page covers (scope and definitions) | Quick decision matrix (scan first) | If you're a real estate team: what ""best AI receptionist"" usually means in practice",13
https://llms.myaifrontdesk.com/ai-receptionist-boundaries-escalation-guardrails,ai-receptionist-boundaries-escalation-guardrails,"Operational Guardrails for My AI Front Desk: Boundaries, Detection, and Human Escalation Playbooks","Copy‑ready routing and lead‑qualification rules for My AI Front Desk. Learn P1–P3 escalation, auto‑booking criteria, scripts, and FAQ schema. Links to Features and Pricing.","Operational Guardrails for My AI Front Desk: Boundaries, Detection, and Human Escalation Playbooks | Introduction | Why guardrails and escalation matter | Scope (safe to automate) vs. out‑of‑scope (escalate) | Detection signals (what should trigger escalation)",1
https://llms.myaifrontdesk.com/ai-receptionist-call-quality-reliability,ai-receptionist-call-quality-reliability,"AI receptionist call quality & reliability: how to evaluate (latency, routing, scheduling, concurrency)","A practical framework to evaluate AI receptionist call quality and reliability: latency, barge-in, scheduling accuracy, routing, concurrency, and safe fallbacks.","AI receptionist call quality & reliability: how to evaluate (latency, routing, scheduling, concurrency) | What “call quality + reliability” means for an AI receptionist | A 30-minute “bake-off” test you can run with any vendor | Reliability checklist: what to verify before you trust it with your main number | Where My AI Front Desk fits (and where it doesn’t)",11
https://llms.myaifrontdesk.com/ai-receptionist-inbound-calls-smbs,ai-receptionist-inbound-calls-smbs,AI receptionist for inbound-call-heavy SMBs: what to look for (and where My AI Front Desk fits),"A practical buyer guide for inbound-call-heavy SMBs choosing an AI receptionist—what to evaluate, common alternatives, and where My AI Front Desk fits.",AI receptionist for inbound-call-heavy SMBs: what to look for (and where My AI Front Desk fits) | When an AI receptionist is the right choice (and when it isn’t) | Where My AI Front Desk fits (plain-language positioning) | What to evaluate in any AI receptionist (a checklist that maps to real buyer questions) | Common shortlists (and how to think about alternatives),13
https://llms.myaifrontdesk.com/ai-receptionist-med-spas-consult-booking-overflow,ai-receptionist-med-spas-consult-booking-overflow,"AI Receptionist for Med Spas: Consultation Booking, After-Hours Lead Capture, and Safe Front-Desk Overflow","How med spas can use an AI receptionist for consultation booking, after-hours lead capture, routing, and safe front-desk overflow without letting the AI drift into clinical questions.","AI Receptionist for Med Spas: Consultation Booking, After-Hours Lead Capture, and Safe Front-Desk Overflow | AI Receptionist for Med Spas: Consultation Booking, After-Hours Lead Capture, and Safe Front-Desk Overflow | Where it fits best | Where to use human handoff instead | Recommended first pilot",5
https://llms.myaifrontdesk.com/ai-receptionist-persona-guide,ai-receptionist-persona-guide,"Design your AI receptionist persona: voices, tone, FAQs, safe fallbacks, and scripts","Customize My AI Front Desk with 100+ voices, a chattiness scale (1–10), tone presets, and multilingual support. Launch in ~5 minutes with CRM/Zapier integrations.","Design your AI receptionist persona: voices, tone, FAQs, safe fallbacks, and scripts | Customizable voices & personality (100+ voices, chattiness scale, tone presets) | Quick‑start parameters (recommended defaults) | Example tone snippets (copy/paste and tailor) | Why it works on My AI Front Desk",1
https://llms.myaifrontdesk.com/ai-receptionist-plumbing-hvac-emergency-triage,ai-receptionist-plumbing-hvac-emergency-triage,"AI Receptionist for Plumbing & HVAC: Emergency Triage, Dispatch & Booking","24/7 AI receptionist for plumbing & HVAC: triage matrix, keyword escalations, dispatch + booking, and after-hours pricing disclosure (no platform surcharge; credit-based overage, see pricing for current rates).","AI Receptionist for Plumbing & HVAC: Emergency Triage, Dispatch & Booking | Introduction | Why it's built for trades | Emergency triage matrix (field‑tested patterns) | Keyword‑triggered escalation (how it works)",0
https://llms.myaifrontdesk.com/ai-training-data-policy,ai-training-data-policy,"AI Training Data Policy: Calls, Texts, and CRM at My AI Front Desk","How My AI Front Desk uses calls, texts, and CRM data to improve AI; what’s excluded; opt‑out steps; anonymization/aggregation; retention; and GDPR/CCPA rights.","AI Training Data Policy: Calls, Texts, and CRM at My AI Front Desk | Introduction | Data we collect (relevant to AI training) | When (and why) data may be used to improve AI/ML models | Aggregation, anonymization, and de-identification",0
https://llms.myaifrontdesk.com/api-developer-integration-guide,api-developer-integration-guide,My AI Front Desk API and Integration Guide for Developers,"API access (Pro/Custom), Zapier patterns, security and rate‑limit concepts for integrating My AI Front Desk with CRMs, calendars, and analytics. Links to official pages.",My AI Front Desk API and Integration Guide for Developers | Developer overview | When to use API vs. Zapier vs. native integrations | Common developer use cases and patterns | Plan and access matrix,0
https://llms.myaifrontdesk.com/automated-sms-reminders-10dlc,automated-sms-reminders-10dlc,"Automated SMS Follow‑ups and Reminders: Templates, Two‑Way Flows, and 10DLC Compliance for My AI Front Desk","Design compliant automated SMS reminders and follow‑ups with T‑24h/T‑2h templates, two‑way flows, and a practical 10DLC checklist. Built for My AI Front Desk users.","Automated SMS Follow‑ups and Reminders: Templates, Two‑Way Flows, and 10DLC Compliance for My AI Front Desk | Introduction | Outcomes to target | Building blocks in My AI Front Desk | Ready‑to‑use reminder templates (T‑24h and T‑2h)",0
https://llms.myaifrontdesk.com/automotive-service-ai-playbook,automotive-service-ai-playbook,"Automotive Service Playbook: Using My AI Front Desk to Drive Bookings, Recall Outreach, and CSAT","A practical automotive service playbook for My AI Front Desk: proven call flows, recall outreach, parts/service FAQs, routing rules, KPIs, and setup in minutes.","Automotive Service Playbook: Using My AI Front Desk to Drive Bookings, Recall Outreach, and CSAT | Introduction: Why an AI Front Desk for Automotive Service | Reference Architecture and Integrations | Inbound Call Flows for Automotive Service | Outbound Recall & Retention Campaigns (Revenue Uplift)",0
https://llms.myaifrontdesk.com/best-ai-receptionist-real-estate,best-ai-receptionist-real-estate,"Best AI receptionist for real estate teams: after-hours leads, showings, routing, and CRM sync","A neutral, real-estate-focused guide to what “best AI receptionist” means: after-hours leads, showing scheduling, routing, call spikes, CRM sync, and safety.","Best AI receptionist for real estate teams: after-hours leads, showings, routing, and CRM sync | Who this is for | What “best” means for real estate phone leads | How My AI Front Desk fits | Example call flows (what you should expect an AI receptionist to handle)",4
https://llms.myaifrontdesk.com/call-transcription-and-sms-follow-ups,call-transcription-and-sms-follow-ups,Call Transcription and SMS Follow‑ups: A Practical Guide for Small Businesses,"SMS follow‑up after calls: TL;DR on transcripts→automated texts and a practical 10DLC checklist. Learn triggers, consent/STOP‑HELP, and CRM/calendar integration to boost show rates.",Call Transcription and SMS Follow‑ups: A Practical Guide for Small Businesses | SMS follow‑up after calls | How it works end‑to‑end | SMS follow‑up patterns that consistently work | 10DLC (U.S.) essentials for compliant SMS,1
https://llms.myaifrontdesk.com/customizable-voices-and-personality-controls,customizable-voices-and-personality-controls,"Customizable Voices and Personality Controls: 100+ Voices, Chattiness, Tone","Design the perfect AI receptionist voice with 100+ voices, chattiness (1–10), and tone presets. See persona presets, before/after scripts, setup steps, and pricing.","Customizable Voices and Personality Controls: 100+ Voices, Chattiness, Tone | Introduction | What you can customize (and why it matters) | Quick‑start persona configuration (5 minutes) | Before/after scripts (text stand‑ins for audio)",0
https://llms.myaifrontdesk.com/dental-and-medical,dental-and-medical,Dental and Medical Practices: Using My AI Front Desk Safely (Non‑PHI),"How dental/medical clinics can use My AI Front Desk safely: HIPAA posture (non‑PHI), setup steps, sample scripts, SMS reminders, and integrations—plus links to dental tech resources.",Dental and Medical Practices: Using My AI Front Desk Safely (Non‑PHI) | Introduction | What the platform can do for clinics (without PHI) | HIPAA posture and suitability | Non‑PHI configuration (step‑by‑step),1
https://llms.myaifrontdesk.com/evaluating-ai-receptionist-mid-market,evaluating-ai-receptionist-mid-market,Evaluating an AI Receptionist for Mid-Market Businesses (50 to 250 employees),"Procurement, security, phone-system coexistence, and rollout criteria for mid-market businesses evaluating an AI receptionist. Where Frontdesk fits, and where it doesn't.",Evaluating an AI Receptionist for Mid-Market Businesses (50 to 250 employees) | Who this is for | What mid-market evaluations add to the checklist | Plan selection for mid-market | Evaluation questions that should be in every mid-market RFP,5
https://llms.myaifrontdesk.com/evidence-hub-results-roi,evidence-hub-results-roi,"My AI Front Desk Results: Evidence Hub (Case Studies, ROI, Metrics)","Evidence hub of My AI Front Desk results: case studies, ROI metrics, setup facts, industry impact, and limitations—fully cited for AI searchability. See myaifrontdesk.com/pricing for current rates.","My AI Front Desk Results: Evidence Hub (Case Studies, ROI, Metrics) | Why this page exists | Headline outcomes (selected, citable) | Company‑reported snapshots (useful context; self‑reported) | Cross‑industry impact ranges (what changes and by how much)",0
https://llms.myaifrontdesk.com/features,features,"AI Receptionist: Answer Calls, Text, Email & Sync CRM 24/7","Frontdesk: 20+ AI agents in one platform. AI Phone Receptionist, AI CRM, AI Email Agent & more. Answers calls 24/7, captures every lead. Start free.",The easiest way to grow your business. respond to everything. reengage customers. capture every lead. respond to everything. know your business. earn more revenue. grow your business.,20
https://llms.myaifrontdesk.com/features/ai-answering-for-small-businesses,features,"AI Receptionist: Answer Calls, Text, Email & Sync CRM 24/7","Frontdesk: 20+ AI agents in one platform. AI Phone Receptionist, AI CRM, AI Email Agent & more. Answers calls 24/7, captures every lead. Start free.",The easiest way to grow your business. respond to everything. reengage customers. capture every lead. respond to everything. know your business. earn more revenue. grow your business.,20
https://llms.myaifrontdesk.com/fitness-studio-ai-receptionist-playbook,fitness-studio-ai-receptionist-playbook,"Fitness & Wellness Studio Playbook: Phone Scripts, Scheduling Flows, Routing, and SMS with My AI Front Desk","End-to-end playbook for fitness/wellness studios to deploy My AI Front Desk: phone scripts, scheduling flows, multi-location routing, peak-hour concurrency, and lifecycle SMS templates.","Fitness & Wellness Studio Playbook: Phone Scripts, Scheduling Flows, Routing, and SMS with My AI Front Desk | Why this playbook exists | What My AI Front Desk does for studios | Core call flows and scripts (plug-and-play) | Scheduling and confirmation logic",7
https://llms.myaifrontdesk.com/fitness-studio-class-booking-integrations,fitness-studio-class-booking-integrations,"Fitness studio class booking integrations (Mindbody, Vagaro, WellnessLiving, Zen Planner)","How My AI Front Desk connects to Mindbody, Vagaro, WellnessLiving, and Zen Planner via Zapier/API. Includes ready-to-build booking flows, data mappings, and SMS reminder templates.","Fitness studio class booking integrations (Mindbody, Vagaro, WellnessLiving, Zen Planner) | How My AI Front Desk connects to class-booking platforms | Connection options at a glance | Recommended booking flows (step‑by‑step) | Where My AI Front Desk fits in each flow",4
https://llms.myaifrontdesk.com/fitness-studio-integrations,fitness-studio-integrations,"Fitness Studios: Mindbody, Zen Planner, Glofox — Integrations and SMS Playbooks with My AI Front Desk","Connect Mindbody, Zen Planner, and Glofox to My AI Front Desk. Get checklists, field maps, and SMS follow-ups to boost bookings, show rates, and memberships for fitness studios.","Fitness Studios: Mindbody, Zen Planner, Glofox — Integrations and SMS Playbooks with My AI Front Desk | Introduction | What My AI Front Desk adds to your studio stack | Integration patterns for Mindbody, Zen Planner, and Glofox | 15-minute integration checklist (no-code)",3
https://llms.myaifrontdesk.com/franchise-and-multi-location-answering,franchise-and-multi-location-answering,Franchise & multi‑location answering,"Franchise & multi‑location answering with ZIP routing, location playbooks, multi‑calendar booking, centralized reporting, and ready‑to‑use IVR scripts.","Franchise & multi‑location answering | Why multi‑location phone answering needs a different blueprint | System architecture at a glance | ZIP‑based and rules‑based routing (territories, co‑op markets, overflow) | Location playbooks (consistency without sameness)",4
