wing,source,url,section,page_type_observed,title,description,h1,h2_sample
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/,home,home-platform-overview,"AI Receptionist: Answer Calls, Text, Email & Sync CRM 24/7","Frontdesk: 20+ AI agents in one platform. AI Phone Receptionist, AI CRM, AI Email Agent & more. Answers calls 24/7, captures every lead. Start free.",The easiest way to grow your business. respond to everything. reengage customers. capture every lead. respond to everything. know your business. earn more revenue. grow your business.,"Thousands of Businesses Grow with Frontdesk | All your customer communications, in one agentic platform. | The AI Workforce that Never Sleeps | The only agentic CRM that fills itself. | Agentic AI that Powers Every Stage of the Customer Journey | Every Communication Channel, One AI Platform | AI That Knows When to Escalate | The AI Receptionist that Broke the Internet"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/pricing,pricing,roi-pricing-tool,Frontdesk Pricing. AI Receptionist Plans,"Start free, then scale: Frontdesk bundles AI phone reception, web chat, SMS, CRM, and automations into clear plans, see credits, overages, and what ships on da…",One platform to capture and manage every lead.,"Compare every plan feature | Predictable pricing beyond included usage | Replace your entire tech stack | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Pricing questions, answered clearly | Launch fast, scale with confidence | Get your AI Workforce for free, today."
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/partner-program,partner-program,partner-channel,Partner with AI Frontdesk. Partner Program,"Join the AI Frontdesk Partner Program. Apply in minutes, get reviewed by our partnerships team, and schedule your first onboarding call.",Partner with AI Frontdesk,"Partners of AI Frontdesk | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/contact-sales,contact-sales,conversion,,AI-powered call handling solution,,
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/samson-properties,testimonials,proof-case-study,Samson Properties Case Study | Frontdesk,"A 47-office brokerage consolidated voice, SMS, and web chat into one always-on front office, with operations-level visibility across every channel.","How Samson Properties Unified Support for 6,500+ Agents","Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/elegant-comfort,testimonials,proof-case-study,Elegant Comfort Case Study | Frontdesk,"A high-volume bedding manufacturer replaced dozens of weekly phone hours with structured AI receptionist flows, SMS follow-up, and wholesale-specific routing.",How Elegant Comfort Eliminated 55 Hours of Weekly Phone Calls,"Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/garman-homes,testimonials,proof-case-study,Garman Homes Case Study | Frontdesk,"Garman Homes used always-on AI receptionist workflows to qualify inbound buyers, book visits, and push clean data into CRM, reducing manual phone filtering for…",How Garman Homes Generated $800K+ in 1 Month,"Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/united-porte,testimonials,proof-case-study,United Porté Case Study | Frontdesk,"A door manufacturer and distributor replaced missed calls and misrouted transfers with intent-based routing, structured lead capture, and overnight coverage ac…","How United Porté Handles 1,600+ Calls/Month and Saves ~80 Hours","Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/clear-speech-therapy,testimonials,proof-case-study,Clear Speech Case Study | Frontdesk,"A high-volume therapy clinic improved referral capture, removed administrative backlog, and added multilingual phone support without proportional hiring.",How Clear Speech & Language Reduced Waitlist to 0,"Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/artisan-homes,testimonials,proof-case-study,Artisan Homes Case Study | Frontdesk,"A boutique builder replaced fragmented answering services with one trained AI receptionist for warranty, sales, and always-on website chat, without growing hea…",How Artisan Homes Improved Warranty Scores by 12%,"Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
